"V1","V2","V3","V4","V5"
40.27,41.35,45,48,48
217.36,218.8,222.5,232.1,232.82
438.45,440.25,449.5,464.1,464.82
879.36,880.8,900,917.95,921.19
1314.62,1321.1,1349,1372.65,1380.93
1744.08,1748.4,1770,1832.75,1834.55
2208.54,2210.7,2231,2265.25,2270.65
3324.78,3339.9,3375.5,3413.65,3414.73
4451.81,4455.05,4474,4490.5,4494.1
22206.72,22209.6,22266.5,22340.35,22346.47
