"V1","V2","V3","V4","V5"
32,33,40,44,45
179,181.95,196,207.05,209
369.475,373,391,407,411
748,752,781,804,809.525
1131,1137,1171,1200,1205
1516.475,1525,1560,1594,1601
1905.475,1912.95,1954,1988,1993.05
2866.475,2877,2926,2969,2975.525
3831,3843.95,3900,3954.05,3965.525
19357.425,19376.95,19496,19629,19654
