"V1","V2","V3","V4","V5"
25,26,31,34,34
126,129,138,147,148
235.475,238,250,260,262
414.95,418,431,445,447.525
574.475,577.95,593,608,610
728,731.95,746,762,765
879.475,882,898,915,917
1254,1256,1275,1294,1298
1625.475,1629,1649,1671,1675
7619.475,7626,7671,7712.05,7721
