"V1","V2","V3","V4","V5"
35,37,43,47,48
161,166,177,187,189
291.99,296,307,319,323
519.99,527,540,553,557
749,754,767,782,788
969.99,975,993,1010,1015
1195.98,1203,1220,1236,1241
1753,1762,1785,1806,1813
2312.98,2324.95,2347,2372.05,2379.05
11316.92,11331.95,11383,11439,11452
