"","throughput","dose_wound","dose_weight"
"1",1,1,1.83333333333333
"2",5,0.933333333333333,1.8
"3",10,0.858333333333333,1.75416666666667
"4",20,0.745833333333333,1.69583333333333
"5",30,0.644444444444444,1.63888888888889
"6",40,0.56875,1.60208333333333
"7",50,0.505833333333333,1.57333333333333
"8",75,0.394444444444444,1.51
"9",100,0.3225,1.46625
"10",200,0.204166666666667,1.40458333333333
"11",300,0.173055555555556,1.37819444444444
"12",400,0.161041666666667,1.36802083333333
"13",500,0.15425,1.36058333333333
