"V1","V2","V3","V4","V5"
26.27,27.35,32.5,35.55,35.91
118.45,120.25,132,142.65,143.73
198.36,199.8,215,223.55,223.91
285.18,285.9,293.5,306.55,306.91
342,342,348,353.75,355.55
396,396,401.5,408.75,410.55
461.18,461.9,467.5,473.3,475.46
621.72,624.6,632.5,637.1,637.82
793.45,795.25,804.5,816.75,818.55
3431.44,3437.2,3458,3488.85,3498.57
