"V1","V2","V3","V4","V5"
25,28,33,36,36
150,155.95,167.5,176,179.01
308,316,331,344,349.01
616.97,629,650,668,673.01
906,917,938,959,965.01
1170.96,1183,1207,1229.05,1238
1429,1446.95,1469.5,1494,1505.01
2088.99,2103,2132,2161.05,2175.01
2744.99,2761.95,2798,2833.05,2847
13325,13352,13444,13524,13561.01
