"V1","V2","V3","V4","V5"
36,39,45,48,48
206.99,211,225.5,235,238
423,431.95,449,464,467.01
862.98,871,898,919,926
1305.92,1317,1345,1371,1380.01
1750,1764.95,1793,1823.05,1836.02
2187,2205,2242,2276.05,2288.01
3302.98,3318,3364,3405.05,3427.03
4413.98,4431,4483,4529,4543.03
22233.91,22296.85,22416,22536.05,22590.02
