"V1","V2","V3","V4","V5"
34,38,43,47,48
159,166,176,185,188.01
285,291.95,305,316,319.01
490.99,496,510,521.05,527.01
671.99,675,689.5,702,707
848.99,853,867,881.05,887.01
1025.99,1031.95,1047,1062,1067.01
1477.99,1483,1501,1517,1521.01
1924.99,1932,1952,1974,1981
9123,9138,9177.5,9218.05,9236.01
