"V1","V2","V3","V4","V5"
33,37,43,47,48
151,155,167,179,183
240,245,258,270,274.01
353,357,368,377,380
458.99,464,474,485,488.01
571.99,576,587,599,604.02
686,689,701,712.05,717
964.98,970,982,996,1002.01
1244,1251,1264,1278,1284.01
5744.97,5754.95,5782,5807.05,5818.01
