"V1","V2","V3","V4","V5"
34.72,37.6,48,48,48
208.36,209.8,225.5,234.1,234.82
428.81,432.05,446.5,463.75,465.55
866.99,870.95,885,908.7,913.74
1329.72,1332.6,1352,1385.3,1394.66
1732.34,1741.7,1787,1801.1,1801.82
2201,2201,2239,2263.7,2268.74
3320.99,3324.95,3373,3407.2,3408.64
4418.63,4421.15,4460.5,4476.85,4479.37
22197.77,22252.85,22358.5,22479.3,22488.66
