"V1","V2","V3","V4","V5"
27,28,33,36,36
155,157,166,174,175
314,317,332,344,346
636,640.95,664,681,685
965.475,971,996,1021,1023.525
1292,1299.95,1328,1356,1360
1621.475,1626.95,1659,1688.05,1695
2436.475,2446,2491,2529,2539
3263,3270.95,3315,3357.05,3364.525
16459.475,16479.85,16587.5,16684,16701.625
