"V1","V2","V3","V4","V5"
27,29,35,41,42
130,133,145,156,159
212,214,228,240,243.525
300.475,304,315,325,327
361.475,363,373,384.05,386
426,428,440,451,454
497,500,513,526,528.525
687.475,690,704,718.05,721.525
873,876,889,906,907.525
3824,3829,3861,3894,3896
