"V1","V2","V3","V4","V5"
27,28,33,36,36
146.99,155,166,175,177
309,315.95,331,346,349
634,642,665,681,689.02
959,969,996,1020,1031
1286.99,1299.95,1327,1355,1367
1612.98,1628,1658,1691,1700
2434.99,2447.95,2487.5,2523.05,2535.01
3257.98,3273.95,3318,3361,3372.02
16451.97,16486.95,16588,16683,16726.01
