"V1","V2","V3","V4","V5"
35,39,45,48,48
205,210,223,235,237
424,430,448,462,466.01
854.93,866,895.5,917.05,929.01
1298.98,1311.95,1342,1371,1381
1736,1754,1790,1820,1828
2169,2195,2235,2272,2285
3290,3304.95,3352,3400,3415.03
4392,4413.95,4472.5,4519.1,4538.01
22173.96,22227,22343.5,22453.05,22493.01
