"V1","V2","V3","V4","V5"
42.09,42.45,47,48,48
212.81,216.05,223.5,233.4,236.28
436.27,437.35,449,461.75,463.55
866.18,866.9,890,909.55,909.91
1316.52,1326.6,1354.5,1376.3,1378.46
1769.27,1770.35,1783.5,1825.05,1829.01
2215.08,2219.4,2247.5,2274.3,2276.46
3298.59,3316.95,3367,3397.2,3405.84
4476.99,4480.95,4499.5,4525.3,4527.46
22245.89,22289.45,22391,22492.2,22508.04
