"V1","V2","V3","V4","V5"
23.63,26.15,32.5,35,35
126.09,126.45,137,144.55,144.91
229.09,229.45,237,247.3,249.46
401.18,401.9,407,415.1,415.82
524.44,530.2,543,552.5,556.1
664.18,664.9,675,681.55,681.91
793.09,793.45,801,809,809
1122.09,1122.45,1134,1157.3,1159.46
1438.07,1446.35,1466.5,1487.65,1488.73
6746.45,6748.25,6800,6824.55,6824.91
