"V1","V2","V3","V4","V5"
32.225,32.45,37.5,40.55,40.775
181.675,182.35,190.5,198.3,199.65
352.675,353.35,364.5,383.3,384.65
721.675,722.35,733,780.95,782.975
1066.25,1068.5,1114,1156.8,1160.4
1443.275,1447.55,1482.5,1515.3,1516.65
1794.15,1797.3,1828,1876,1885
2735.8,2737.6,2762,2788.2,2789.1
3650.075,3656.15,3700,3764.1,3764.55
18282.65,18299.3,18482,18542.85,18544.425
