"V1","V2","V3","V4","V5"
27.575,29.15,36.5,40.65,41.325
136.475,138.95,150.5,162.85,164.425
249.125,250.25,259.5,271.75,272.875
430,430,433.5,440.85,442.425
587,587,595.5,603.55,603.775
714.575,716.15,737,750.65,751.325
871.125,872.25,888,897.85,899.425
1244.675,1245.35,1252,1265.65,1266.325
1613.725,1618.45,1635,1652.2,1653.1
7533.5,7538,7582.5,7611.15,7614.075
