"V1","V2","V3","V4","V5"
27,28,33,36,36
154,156,166,175,177
315,317.95,333,345,347
639.475,643.95,664,682.05,685.525
966,970,995,1017,1021
1293.475,1297,1327,1352.05,1358.525
1616.475,1624,1659.5,1688.05,1693
2437.95,2444.95,2488,2528,2538.525
3260,3272,3316,3360,3368
16451.475,16482,16579.5,16687.05,16705.05
