"V1","V2","V3","V4","V5"
22,23,28,32,32.525
126,128,138,148,149
258,262,277,291,293.525
526,533,554,574.05,577
797.475,802,830,853,862.525
1070.425,1076.95,1105,1133.05,1137.525
1339.95,1348,1381,1417,1421
2025,2032.95,2075,2112,2119
2709.475,2721,2768,2813,2822.525
13700.95,13723.95,13829,13930.15,13959.05
