"V1","V2","V3","V4","V5"
22,23,28,32,32.525
125,126.95,138.5,149,150
260.475,263,278,289,291.525
527,531.95,553,573.05,577.525
799.475,804.95,831,858.05,863.05
1072.475,1079,1108,1136.05,1141.525
1348,1351.95,1382,1413.05,1419
2023,2035.95,2076,2112,2119
2712.9,2721,2766.5,2809.05,2821
13712.9,13734,13832.5,13941,13957.05
