"V1","V2","V3","V4","V5"
24,27,32,36,36
121,127,137,147,152
222,228,240,250,253.01
397.99,403,416,428,431.01
563,568,584,598.05,602.01
728.99,733.95,752,767,774
891.98,899,916,932,939.01
1301,1311,1333,1353,1361
1715.99,1724.95,1747.5,1773.05,1783
8336.99,8353,8399.5,8447,8467.06
