"V1","V2","V3","V4","V5"
30,30,33,36,36
159.18,159.9,166.5,176.1,176.82
314.54,316.7,334,344.5,348.1
649.63,652.15,673,688.65,689.73
963.07,971.35,1000,1028.05,1032.01
1291.89,1299.45,1326,1354.3,1356.46
1642.72,1645.6,1677.5,1699.3,1701.46
2440.79,2451.95,2487.5,2521.35,2527.47
3297.99,3301.95,3329.5,3351.55,3359.11
16493.39,16518.95,16606,16709.2,16725.04
